CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
Medium,Mining,South,Lease,32256.62,0.687,-25.84,22.62,1.41,4.2,2.4,0.76,71.6,0.0345
Low,Energy,East,Lease,40912.47,0.6915,-17.24,42.74,1.67,3.07,9.6,0.8,55.5,0.1433
Medium,Energy,East,Lease,76255.05,0.5766,-14.79,-2.46,1.56,3.02,6,0.73,56,0.1081
Medium,Construction,East,Loan,59551.64,0.6135,-16.5,-7.9,1.27,1.97,4.3,0.81,77.5,0.1384
Low,Construction,West,Lease,32531.2,0.7125,5.43,16.88,1.51,3.9,8,0.72,64.6,0.1616
High,Manufacturing,South,Lease,62375.73,0.6056,-20.48,-61.82,1.16,2.04,3,0.75,81,0.119
High,Manufacturing,West,Loan,39232.53,0.6427,15.58,-26.22,1.26,2.04,0.8,0.62,84.3,0.1871
Medium,Transportation,South,Loan,62338.25,0.5949,-29.71,-27.27,0.33,3.43,3.7,0.77,49.6,0.1706
High,Transportation,North,Lease,43815.02,0.6166,19.52,16.56,1.08,3.21,6.4,0.57,59.2,0.1752
Medium,Transportation,North,Lease,35599.59,0.6871,61.19,4.5,1.91,3.05,9.6,0.6,58.2,0.0911
High,Transportation,South,Lease,34197.97,0.6591,15.58,38.04,1.81,0.28,3.6,0.62,92.8,0.1115
Medium,Energy,South,Loan,54314.42,0.6038,-10.88,36.24,1.87,3.36,2.7,0.87,67.9,0.096
Medium,Energy,South,Lease,63695.32,0.6653,-10,-58.83,1.71,0.1,5.1,0.66,75.2,0.0652
Low,Manufacturing,South,Loan,55586.01,0.6737,-22.47,-50.6,1.26,4.53,5,0.74,58.1,0.1534
High,Construction,East,Lease,43510.39,0.6163,21.57,1.16,0.87,2.17,8.8,0.76,70.8,0.1319
Medium,Construction,West,Lease,23039.84,0.7432,3.26,-46.41,1.34,3.24,5.5,0.75,61.5,0.0715
Low,Mining,East,Loan,40409.74,0.7483,-36.19,-59.17,0.1,2.13,9.2,0.6,43,0.1178
Low,Energy,West,Lease,31219.5,0.7772,-29.07,-22.14,2.07,3.46,7.8,0.74,61,0.0333
Medium,Transportation,West,Lease,70528.54,0.6723,-35.14,-62.55,1.6,1.19,6.8,0.6,73.5,-0.0357
Medium,Transportation,West,Lease,44022.74,0.6736,15.25,-30.83,1.93,5.78,2.1,0.54,100,0.114
Medium,Mining,East,Loan,54505.7,0.6048,-20.04,21.34,1.24,1.97,4.2,0.87,50.6,0.1862
High,Construction,South,Lease,44845.15,0.6148,16.68,-14.58,0.7,4.31,5.5,0.68,68.5,0.0685
Low,Transportation,East,Lease,56445.28,0.6406,-11.16,44.93,1.59,1.33,0,0.68,73.8,0.0887
Medium,Construction,East,Loan,60772.61,0.6091,15.85,-17.04,1.59,2.41,3.7,0.81,82.4,0.0571
Low,Mining,West,Loan,84926.82,0.5601,-5.15,16.59,1.43,1.87,4.4,0.78,64.4,0.0979
High,Construction,North,Lease,43161.12,0.6463,19,-15.88,1.64,2.1,3.4,0.64,61.5,0.0809
High,Construction,North,Lease,65646.58,0.5793,-15.84,-6.48,1.26,3.63,9.2,0.74,81.2,0.0979
Medium,Construction,East,Loan,54168.76,0.6468,-14.69,-11.77,1.6,3.7,6,0.76,80.7,0.0484
Medium,Transportation,West,Lease,41328.15,0.6822,-9.11,16.68,1.73,3.61,4.6,0.58,83.1,0.0881
Medium,Manufacturing,East,Lease,42398.84,0.6745,16.68,21.73,2.34,1.69,1.3,0.63,80.2,0.0575
Medium,Energy,East,Loan,57063.54,0.6224,-21.64,61.84,1.88,3.19,3.9,0.68,46.2,-0.0068
High,Construction,South,Lease,45550.97,0.6319,-11.53,0.45,0.88,1.73,8.2,0.71,81.1,0.1362
Medium,Construction,West,Lease,51574.03,0.6024,-5,16.44,1.31,5.2,3.8,0.84,72.3,0.113
Medium,Construction,North,Loan,59969.68,0.6304,7.98,-30.8,1.07,1.61,4.2,0.64,36.5,0.1021
Medium,Manufacturing,North,Lease,87429.54,0.5203,-7.92,20.63,2.19,2.29,2.4,0.86,79.1,0.1198
High,Mining,North,Lease,50487.27,0.6062,11.55,0.76,1.25,3.09,5.3,0.76,63.5,0.0221
Medium,Transportation,East,Lease,33077.4,0.7588,-14.96,-79.87,1.37,1.47,5.6,0.55,85.3,0.1687
Low,Manufacturing,West,Loan,55969.84,0.6529,19.78,-26.06,1.44,3.95,5.4,0.74,66.5,0.0936
Medium,Construction,South,Lease,42739.56,0.6603,15.13,-62.21,1.7,4.67,2.6,0.86,78.7,0.1525
High,Manufacturing,North,Loan,78404.12,0.5528,-11.46,-22.15,0.91,1.68,6,0.69,77.3,0.0295
Low,Manufacturing,West,Loan,42543.31,0.698,14.41,9.2,1.49,1.98,4.2,0.64,54,0.0827
Low,Manufacturing,North,Lease,50275.96,0.6878,-21.83,-8.96,1.97,4.79,5.5,0.65,90,0.1876
Low,Mining,South,Loan,59343.71,0.6273,3.24,18.48,1.34,3.22,6.6,0.76,57.7,0.1376
Medium,Energy,West,Lease,57369.51,0.7091,-15.79,-70.42,2.41,2.67,5.8,0.57,56.2,0.0309
Medium,Transportation,East,Lease,70852.89,0.5444,6.27,28.75,1.06,1.86,6.3,0.89,85.1,0.1277
Medium,Mining,East,Lease,60012.25,0.6062,-3.4,7.37,1.25,2.45,6.4,0.82,72.7,0.0681
Medium,Mining,North,Loan,85144.2,0.5776,-15.18,-37.95,1.89,2.78,6.7,0.78,100,0.0421
Medium,Energy,North,Lease,56742.39,0.6563,-31.43,-0.75,1.52,3.96,7,0.6,53.2,0.0684
Medium,Mining,West,Lease,69486.55,0.5439,-4.32,65.73,1.39,3,7.4,0.86,80.1,0.1073
High,Manufacturing,South,Lease,42961.24,0.5865,23.86,43.96,0.94,1.63,5.9,0.84,76.6,0.1058
Medium,Manufacturing,North,Loan,79622.35,0.5197,5.68,50.33,1.21,2.22,6.7,0.86,89,0.0566
High,Construction,West,Loan,44784.56,0.674,-31.28,-6.39,2.42,1.32,5.3,0.75,91.8,0.0916
Medium,Mining,South,Lease,72290.5,0.5753,-4.67,34.09,1.66,2.8,6.4,0.72,81.2,0.0491
Low,Construction,North,Lease,63378.78,0.5872,23.77,39.31,1.79,6.38,4.1,0.74,77.9,0.0938
Medium,Transportation,North,Lease,51000.04,0.6199,-6.2,-31.32,1.19,6.72,1.5,0.76,70,0.1194
Medium,Manufacturing,West,Lease,72435.07,0.5696,-19.46,38.72,1.6,3.49,7.9,0.84,70.4,0.0185
Medium,Transportation,North,Loan,49820.17,0.6417,34.95,31.92,1.36,0.52,5.4,0.58,83.5,0.0379
Low,Energy,East,Loan,70525.79,0.6159,-21.61,-20.19,0.88,4.39,5.3,0.74,78.8,0.0678
Low,Manufacturing,South,Loan,55670.74,0.6426,-4.53,2.8,1.13,4,6.8,0.77,78.8,0.1262
High,Transportation,South,Loan,44341.75,0.5839,-12.3,40.75,1.24,7.03,3.7,0.82,68.9,0.0418
Low,Energy,East,Loan,54804.02,0.6738,13.06,-1.74,2.55,3.11,4.8,0.69,49.4,0.1382
High,Transportation,West,Loan,50511.55,0.619,9.63,26.5,2.44,2.36,3.8,0.73,60.6,0.0409
Low,Energy,East,Loan,43362.25,0.7064,-17.91,-14.14,0.66,1.5,4.6,0.71,61.5,0.051
Medium,Energy,East,Lease,53494.79,0.6401,-13.99,-32.85,1.09,4.23,4.2,0.75,73.6,0.0782
Medium,Manufacturing,South,Lease,56055.3,0.6479,2.78,-35.97,1.41,2.72,3.9,0.66,86.6,0.0711
Medium,Construction,West,Lease,13181.98,0.7586,4.36,-8.44,1.51,2.62,5.8,0.78,68.9,0.0594
Medium,Energy,North,Lease,57520.45,0.6138,-4.58,13.15,1.43,2.25,1.3,0.76,57,0.0322
Low,Energy,East,Lease,61116.57,0.7021,-6.15,-52.72,2.42,6.3,7.6,0.57,43.1,0.0202
Low,Manufacturing,East,Lease,71774.69,0.5952,-24.57,57.79,1.26,2.38,3.6,0.6,63.4,0.1394
Medium,Construction,West,Loan,31459.99,0.683,37.01,32.03,2.41,4.05,6,0.7,55.4,0.0999
Medium,Mining,East,Lease,34737.44,0.6481,12.77,15.41,1.98,3.69,6.1,1,82.4,0.1827
High,Mining,West,Loan,53139.1,0.6079,0.12,24.47,1.47,0.1,4.4,0.69,80.4,0.098
High,Construction,North,Lease,39306.11,0.634,19.52,-19.43,1.18,6.32,5.9,0.61,58.4,0.1198
Medium,Transportation,West,Loan,32153.62,0.7241,-4.08,-44.28,1.17,0.22,2.8,0.65,75.1,0.1694
Medium,Manufacturing,North,Loan,43798.92,0.6806,-16.29,12.3,2.47,1.65,3.9,0.77,71.5,0.1283
Medium,Construction,West,Lease,44602.7,0.6374,6.92,31.32,1.86,2.24,4.5,0.88,54.7,0.0824
Low,Mining,East,Lease,34765.26,0.7459,2.78,-14.81,1.65,1.91,5.9,0.65,75.7,0.0727
High,Energy,North,Lease,34665.19,0.6322,33.64,-28.33,0.4,2.66,4.3,0.74,71.2,0.1173
Medium,Mining,East,Lease,48180.22,0.6682,-14.74,-16.26,1.25,1.84,4.7,0.66,82.4,0.1244
Medium,Energy,North,Lease,28270.59,0.694,-19.26,14.43,1.32,5.03,6.7,0.78,68.5,0.1205
Low,Manufacturing,West,Loan,28029.23,0.7159,42.02,18.06,1.61,3.89,5.8,0.66,91.7,0.0915
Medium,Energy,West,Lease,51072.63,0.6119,23.69,54.3,1.43,2.07,9.7,0.79,61.4,0.0784
Medium,Construction,West,Loan,72584.65,0.5861,12.73,13.39,1.31,1.75,3.2,0.45,49.1,0.1237
High,Energy,South,Loan,60995.62,0.5962,-13.67,-24.99,1.66,2.15,2.4,0.78,73.2,0.0937
Medium,Transportation,South,Loan,68339.28,0.6243,8.35,-8.92,1.95,1.64,8.8,0.69,88,0.0319
Medium,Construction,North,Lease,22924.1,0.7577,-25.81,-31.42,1.2,1.2,5.5,0.76,53.4,0.064
High,Manufacturing,South,Lease,28870.99,0.663,-10.27,33.21,1,4.4,7.7,0.7,66.2,0.0463
Low,Construction,West,Lease,50159.75,0.7059,-23.27,-33.46,1.22,2.41,3,0.58,78.8,0.1189
Medium,Transportation,South,Lease,62543.33,0.6116,-15.06,-16.97,1.02,3.59,4,0.72,36.8,0.0637
Low,Manufacturing,South,Lease,59570.66,0.6299,-23.83,14.44,1.37,3.1,5.3,0.78,100,0.2096
Medium,Mining,East,Lease,29837.52,0.6794,13.92,47.86,2.5,5.17,5,0.73,74.1,0.1273
High,Transportation,North,Loan,67035.61,0.5003,35.75,85.69,1.33,4.34,4.8,0.56,63.8,0.1801
Low,Manufacturing,North,Lease,48779.77,0.6578,19.53,-40.21,0.95,3.54,1.8,0.72,82.7,0.1815
High,Energy,North,Loan,61665.92,0.5384,14.98,19.13,1.28,6.44,4.8,0.75,70.6,0.0829
Low,Construction,South,Loan,40923.84,0.7283,-6.72,-0.69,2.28,1.94,5.7,0.66,62.3,0.1555
High,Manufacturing,West,Lease,26843.93,0.7136,3.84,-7.48,1.36,2.72,4.3,0.4,81.7,0.1049
Medium,Construction,East,Lease,62687.68,0.6137,-21.44,-8.49,1.1,3.98,7,0.65,75.7,0.1597
High,Energy,North,Lease,57044.7,0.628,-25.98,-37.04,0.63,4.27,7,0.57,41.1,0.0299
Low,Manufacturing,South,Lease,31315.63,0.7254,-29.06,50,1.33,1.68,5.4,0.69,64.6,0.1174
High,Mining,West,Lease,39977.41,0.6825,-24.4,-62.43,0.78,2.95,3.5,0.57,61.9,0.1187
Medium,Transportation,East,Lease,60291.31,0.6204,13.74,-4.43,1.61,3.03,5.7,0.57,64.8,0.1697
Medium,Manufacturing,East,Loan,53090.53,0.5849,15.94,44.92,1.29,6.5,6,0.78,74.8,0.0443
High,Energy,North,Loan,57525.38,0.5741,-18.03,6.81,0.45,3.99,5.2,0.72,36.7,0.0871
Low,Manufacturing,North,Loan,42134.7,0.7052,5.87,-20.11,2.33,4.62,3.5,0.75,84.5,0.1119
High,Construction,West,Loan,71346.9,0.5823,22.84,-18.89,2.57,2.42,6.7,0.64,61.7,0.1214
Low,Manufacturing,South,Loan,48332.74,0.6749,-3.04,26.38,1.63,1.87,5.9,0.65,81.5,0.1944
Medium,Mining,West,Loan,14488.13,0.7863,-14.87,-9.17,2.27,2.36,4.2,0.64,61.6,0.1146
Medium,Manufacturing,North,Lease,51604.08,0.6476,-8.33,-0.96,1.61,3.82,5.3,0.65,65.2,0.1241
Low,Transportation,West,Lease,59074.14,0.5895,28.62,18.67,0.53,5.21,3.2,0.65,98.3,0.146
Low,Manufacturing,South,Lease,54456.15,0.6574,-1.39,27.91,1.37,0.87,1.2,0.6,54.4,0.11
Low,Construction,East,Loan,43600.46,0.6641,42.71,-16.74,1.18,5.97,1.9,0.63,62.2,0.0663
Medium,Manufacturing,East,Loan,20694.22,0.7429,-13.35,-40.97,0.75,4.33,5.5,0.72,60.2,0.0619
Medium,Mining,East,Loan,40250.41,0.692,-10.12,-30.09,1.5,4.5,4.4,0.6,94.1,0.1395
Medium,Energy,East,Lease,41666.73,0.65,-28.11,41.43,1.13,4.4,5.8,0.73,50.2,0.0918
Low,Manufacturing,North,Lease,40112.13,0.7239,21.45,2.05,1.59,2.39,6.7,0.54,83,0.0464
Low,Manufacturing,North,Lease,59179.45,0.6789,1.88,-37.48,1.87,2.81,5.7,0.73,45.7,0.0498
Medium,Transportation,South,Loan,44998.65,0.6936,-18,-28,2.35,4.02,3.7,0.69,50.9,0.1034
Low,Mining,South,Loan,70725.13,0.5978,-7.17,34.94,1.48,2.63,5.8,0.73,58.1,0.1285
High,Energy,South,Loan,46616.6,0.5979,9.71,2.6,0.94,3.35,4.2,0.73,64.9,0.1418
High,Construction,South,Lease,68238.26,0.6015,-16.54,-50.24,1.23,2,4.4,0.6,85.4,0.1119
Medium,Manufacturing,West,Loan,53216.97,0.6512,6.85,-33.06,1.29,4.16,7.1,0.71,66.4,0.0309
Medium,Energy,South,Lease,53957.18,0.6492,17.99,34.59,2.65,2.79,6.1,0.59,77.7,0.0673
High,Construction,East,Lease,39757.03,0.6734,-8.67,-17.03,1.45,2.39,4.2,0.66,60.2,0.0048
Low,Mining,East,Lease,29740.49,0.7143,-37.23,62.84,1.75,1.76,3.4,0.79,70.9,0.1752
Low,Mining,East,Lease,48900.1,0.6959,-5.41,57.46,2.04,2,7.8,0.6,85.5,-0.0018
Low,Energy,West,Lease,75302.7,0.6051,-10.08,44.69,2.19,1.02,4.9,0.69,79.5,0.1165
Medium,Construction,South,Lease,43119.54,0.6686,-24.91,14.95,1.6,3.63,2.7,0.62,78.4,0.1423
Low,Mining,East,Lease,40739.44,0.6751,11.74,30.99,1.33,2.1,4.1,0.73,42.2,0.1373
Medium,Energy,East,Loan,47421.2,0.6163,12.51,-1.67,1.25,2.94,1.5,0.79,60.7,0.1976
High,Mining,East,Lease,76522.82,0.5092,4.36,-0.9,0.86,4.82,0,0.65,71.9,0.0578
High,Mining,East,Loan,61804.05,0.6178,-8.67,-36,1.94,2.82,6.9,0.72,66.8,0.0768
Medium,Mining,North,Lease,68213.94,0.6271,2.7,-1.34,2.87,2.76,3.2,0.68,62.1,0.0023
Low,Transportation,South,Lease,20294.91,0.8079,-13,-38.06,2.18,2.92,2.6,0.6,57,0.107
High,Construction,South,Lease,37630.54,0.642,13.7,0.19,1.51,3.44,3.9,0.74,84.8,0.0564
Medium,Energy,West,Loan,38150.99,0.6844,-8.75,-36.33,0.86,2.3,4.3,0.75,75.1,0.1383
Low,Energy,North,Lease,67041.31,0.6389,-5.04,-26.06,1.22,4.28,3.8,0.6,83.1,0.0637
Low,Construction,West,Lease,59898.2,0.674,-3.38,-76.65,1.7,3.2,3.2,0.79,100,0.1168
High,Construction,East,Loan,65838.36,0.5275,65.34,-23.48,1.33,2.19,4.9,0.83,42.1,0.1847
Medium,Construction,West,Loan,21866.18,0.7643,-20.39,-21.59,1.44,2.49,4.5,0.61,73.9,0.0615
High,Construction,East,Loan,66655.07,0.5588,-9.41,-9.27,1.69,4.71,8.4,0.84,66.5,0.1675
High,Manufacturing,East,Loan,59889.9,0.5984,-32.04,35.72,1.61,2.01,4.3,0.7,87.7,0.0102
Medium,Energy,South,Lease,36138.59,0.7041,5.08,-1.58,2.66,3.63,4.9,0.69,84.9,0.121
Medium,Manufacturing,South,Lease,47046.12,0.6197,34.62,27.84,2.64,3.72,3.2,0.87,67.8,0.1209
Medium,Mining,South,Loan,36596.21,0.6755,-4.58,29.06,1.35,1.39,6.3,0.78,72,0.0837
Medium,Mining,South,Lease,48550.87,0.6675,-12.84,42.3,2.02,0.83,8.3,0.64,85.3,0.1367
Medium,Energy,South,Loan,56740.33,0.6315,-1.22,-27.18,0.8,2.52,4.8,0.65,80.8,0.115
Medium,Mining,North,Loan,71063.29,0.5849,20.69,-35.46,1.97,4.21,3.7,0.73,97.4,0.1177
Medium,Construction,South,Loan,35908.71,0.6929,27.63,-3.49,1.74,0.79,5.4,0.73,74,0.0697
High,Manufacturing,West,Lease,42961.76,0.6656,-20.94,-31.27,1.05,1.69,6,0.7,65,0.0813
Medium,Construction,East,Loan,33456.06,0.7161,13.16,-6.89,2.08,4.01,10.8,0.63,56.9,0.1478
Medium,Mining,South,Lease,61498.45,0.6341,-2.03,-28.49,0.99,1.4,4.7,0.65,73.1,0.0516
Medium,Manufacturing,North,Lease,26366.28,0.7135,28.85,-36.57,1.43,4.53,4.3,0.7,56,0.0719
Medium,Construction,West,Lease,52655.21,0.6087,45.9,10.66,1.57,6.98,2.7,0.54,71.8,0.0279
Medium,Energy,West,Loan,31613.18,0.6377,36.41,55.95,0.66,1.78,4.4,0.75,96,0.0963
Low,Construction,East,Lease,50687.18,0.663,-19.72,-7.51,1.58,5.21,4.2,0.73,84.6,0.2025
Medium,Mining,West,Loan,67338.68,0.5969,-16.83,8.32,1.05,3.49,6.1,0.61,49.4,0.1242
Low,Manufacturing,West,Lease,42331.06,0.6836,33.89,1.95,1.29,1.81,4.5,0.75,42.6,0.038
Medium,Energy,West,Lease,53313.05,0.6303,-2.08,-1.03,1.45,5.39,3,0.53,44.4,0.171
Medium,Manufacturing,West,Lease,36602.51,0.6489,-15.39,42.87,0.65,3.61,2.9,0.74,61.1,0.048
Medium,Energy,North,Loan,48313.54,0.6394,-27.25,-8.3,1.25,4.79,4.2,0.79,65.1,0.1454
High,Manufacturing,East,Loan,26631.51,0.7139,2.79,-97.16,1.41,6.52,6.5,0.74,86.8,0.0966
Medium,Mining,South,Loan,60615.74,0.6209,-8.24,-26.32,1.32,2.84,5.4,0.76,82.1,0.1241
Medium,Energy,West,Loan,43768.04,0.6355,7.81,3.2,1.02,3.83,5.9,0.77,78.6,0.1563
Medium,Transportation,North,Lease,46867.56,0.6538,3.8,-3.21,0.82,1.33,5,0.74,60.9,0.025
Medium,Manufacturing,East,Lease,51038.06,0.6562,-24.31,-6.89,0.99,2.3,5.8,0.69,61.6,0.0835
Low,Manufacturing,South,Loan,20498.84,0.7591,-16.35,-15.31,0.53,2.88,4.3,0.67,59.9,0.1423
Low,Construction,East,Loan,39616.51,0.6713,18.89,2.58,1.08,3.32,3.3,0.81,91,0.09
Medium,Energy,North,Loan,52028.61,0.6185,20.65,61.65,2.11,0.1,3.3,0.76,60.7,0.0706
Medium,Transportation,North,Loan,47601.2,0.6197,-7.43,-9.79,0.73,5.32,3.2,0.82,48,0.0931
Low,Mining,North,Lease,82660.18,0.5474,3.52,64.9,1.95,3.95,7.5,0.8,67.4,0.0727
Low,Construction,West,Loan,68880.76,0.6236,-20.81,14.15,0.83,3.78,7,0.58,93.4,0.0799
Low,Transportation,North,Loan,52093.93,0.6676,-1.07,-20.11,1.75,6.07,4.1,0.63,69,0.1703
High,Energy,South,Lease,34662.51,0.6734,22.11,26.01,2.82,5.43,5.3,0.52,69.1,0.0806
Medium,Transportation,West,Loan,42575.98,0.7079,33.37,-73.04,1.8,2.77,6.4,0.54,50.1,0.1683
Medium,Manufacturing,East,Lease,59872.02,0.6299,-2.51,-0.46,1.4,2.15,3.8,0.52,78.1,0.1535
Low,Manufacturing,South,Loan,51149.32,0.681,-6.28,15.56,1.42,3.93,4.8,0.47,84.9,0.1245
Medium,Construction,West,Lease,69141.56,0.5928,-28.73,15.93,1.94,5.33,3.1,0.68,67.3,0.0718
Low,Energy,North,Loan,51030.55,0.6569,-11.97,19.11,1.7,2.78,3.3,0.82,81.2,0.1125
Low,Energy,East,Loan,51737.51,0.657,-1.37,21.74,1.63,4.33,6.3,0.74,25,0.1043
Medium,Transportation,North,Loan,74363.18,0.5485,-3.49,8.92,1.27,5.56,5.1,0.77,94,0.0721
Low,Construction,South,Loan,33551.54,0.7152,-11.35,21.69,1.67,4.48,5.1,0.71,71.7,0.1058
Low,Energy,South,Loan,76007.86,0.5955,23.74,-16.79,0.6,0.61,7.3,0.71,59.6,0.0762
Low,Manufacturing,West,Lease,61544.49,0.6036,8.28,35.29,1.2,1.21,4.1,0.78,64,0.1927
Low,Transportation,South,Loan,98532.05,0.5523,-3.31,-13.8,2.39,5.97,6.4,0.68,100,0.0442
Low,Mining,East,Lease,39478.51,0.6824,13.67,34.71,1.94,3.16,3.3,0.71,73.3,0.1348
Medium,Manufacturing,West,Lease,74441.06,0.5713,-0.52,-0.6,1.44,3.5,4.2,0.66,75.7,0.1017
High,Construction,East,Lease,52008.08,0.5809,31.05,6.54,0.95,3.85,3.6,0.58,70.8,0.1377
Medium,Energy,North,Lease,47216.24,0.6518,-15.9,26.46,2.51,5.15,3.4,0.69,61.8,0.1423
Medium,Manufacturing,East,Loan,54573.53,0.6215,6.56,45.2,1.19,1.83,8.6,0.58,48.1,0.1571
Low,Mining,East,Loan,51878.22,0.6711,-42.51,1.22,1.02,2.38,2.5,0.79,81.3,0.081
High,Mining,South,Loan,38316.26,0.6602,-7.83,6.48,1.59,1.49,3.6,0.75,64.7,0.0258
Medium,Construction,North,Loan,48025.43,0.66,3.04,-77.49,1.23,0.1,0.9,0.85,68.6,0.2321
Low,Manufacturing,South,Lease,54606.6,0.6617,-6.42,-26.08,0.49,3.62,4,0.62,86.1,0.085
Medium,Transportation,North,Lease,43622.67,0.7111,-22.1,-45.33,0.78,1.7,4.6,0.56,81.4,0.0258
Low,Manufacturing,North,Lease,58106.62,0.6736,-13.89,-12.16,1.4,4.44,6.7,0.55,63.4,0.1161
Medium,Mining,East,Loan,45562.36,0.655,-20.13,-20.04,0.94,2.09,4,0.86,77.6,0.0933
Medium,Construction,South,Loan,56875.18,0.627,-2.39,-23.74,0.72,0.98,2.7,0.66,81.1,0.1402
High,Construction,East,Loan,55065.74,0.5989,15.7,-31,0.77,4.58,4,0.55,58.9,0.0976
Medium,Transportation,East,Loan,56769.99,0.6058,-6.94,15.76,1.41,3.78,5.5,0.75,63.8,0.1655
Medium,Construction,East,Lease,29769.29,0.7238,36.18,-53.71,1.44,2.75,6.5,0.67,74.6,0.0875
High,Construction,North,Loan,66456.24,0.6023,4.57,-32.73,1.92,2.84,3.7,0.61,81.4,0.0373
Low,Construction,South,Loan,37009.42,0.6957,-40.97,0.99,0.9,3.9,3.1,0.85,76.1,0.1316
Low,Construction,South,Lease,47212.2,0.6571,6.66,29.09,1.41,5.55,4.2,0.69,76,0.0423
Medium,Construction,East,Lease,40312.39,0.6754,-1.01,-27.91,1.16,3.6,5.7,0.76,63.7,0.1068
Medium,Mining,North,Loan,51070.23,0.6097,27.55,31.51,1.78,3.7,6.6,0.74,56.3,0.1554
Medium,Manufacturing,South,Loan,48333.15,0.6666,-0.34,-81.96,1.51,2.31,3,0.97,77.5,0.0684
High,Energy,West,Lease,59767.9,0.59,-5.06,0.06,1.67,2.65,3.6,0.68,59.7,0.1311
Medium,Construction,South,Loan,50658.25,0.6437,41.46,9.18,2.12,0.1,0.8,0.6,63.2,0.115
Medium,Energy,East,Lease,44124.72,0.7085,-42.11,-29.65,1.6,1.59,0.9,0.63,42.8,0.0725
Medium,Energy,West,Lease,23038.88,0.7465,-6.89,-39.3,2.05,1.4,2.8,0.8,61.2,0.1725
High,Mining,North,Loan,63264.85,0.5564,5.31,3.8,0.85,1.36,3,0.73,63.7,0.1312
High,Construction,West,Lease,57763.04,0.5816,-7.99,-1.07,0.77,2.43,4,0.65,55.3,0.1659
High,Energy,West,Loan,63876.86,0.625,-42.02,-24.35,2.16,2.59,5.6,0.73,56.5,0.0634
Low,Construction,East,Loan,47219.1,0.681,8.08,-8.66,1.64,1.4,4.8,0.83,71.3,0.1074
Medium,Transportation,South,Loan,55353.99,0.6193,-9.16,-18.06,1.8,4.89,5.6,0.87,78.1,0.1547
Low,Transportation,North,Loan,40199.12,0.6954,-2.72,37.52,2.08,3.9,6.8,0.74,78.3,0.1059
Low,Transportation,West,Lease,38827.95,0.6586,25.18,20.4,1.12,3.31,5.5,0.81,79.5,0.1881
Low,Energy,East,Loan,45745.98,0.6876,6.09,5.81,1.19,3.97,4.6,0.56,85.1,0.0728
Medium,Transportation,South,Loan,63827.1,0.5989,-12.4,56.62,1.91,0.42,5.9,0.76,88.7,0.1039
Medium,Mining,West,Lease,45878.39,0.6365,7.87,31.04,1.33,0.38,1.2,0.68,67.5,0.1457
Low,Mining,East,Loan,49188.71,0.6574,-8.49,37.32,1.22,4.83,4.5,0.59,63.1,0.1233
Medium,Energy,East,Loan,53636.67,0.5945,-6.07,47.43,0.87,6.57,6.3,0.61,81.3,0.1175
Medium,Construction,East,Loan,50380.14,0.6541,15.15,-4.68,1.95,3.08,4.7,0.62,48.4,0.1202
Medium,Manufacturing,North,Loan,65215.06,0.6105,-12.83,-36.53,1.23,6.38,5.5,0.73,68.6,0.0059
Low,Construction,South,Lease,38778.98,0.7508,11.23,-53.52,1.94,3,4.6,0.59,57.3,0.092
Medium,Construction,West,Lease,51496.14,0.6378,-4.6,22.18,1.75,1.94,6.2,0.77,58.1,0.1152
Medium,Construction,South,Loan,57113.42,0.6438,-10.16,-29,2.2,4.47,6.8,0.8,62,0.1207
Low,Construction,South,Lease,25365.81,0.6975,-10.09,99.8,0.65,0.1,0.8,0.69,80.6,0.0567
Low,Manufacturing,West,Lease,53990.74,0.656,-12.28,-25.27,0.1,2.12,3.7,0.68,100,0.115
Medium,Transportation,South,Lease,70130.36,0.6095,1.79,-30.45,2.38,1.76,1,0.72,81.6,0.1237
High,Construction,North,Lease,44742.64,0.6337,-5.49,23.33,2.01,1.2,0,0.65,42.2,0.1135
Medium,Mining,West,Loan,33724.38,0.651,27.39,23.95,0.99,2.25,6.2,0.85,66.7,0.1008
Medium,Energy,West,Lease,57005.5,0.6259,-17.74,53.91,1.09,3.44,6.6,0.49,60.3,0.0573
Medium,Energy,East,Loan,52692.31,0.6322,10.86,-7.49,1.52,4.97,4,0.66,54.6,0.0644
Medium,Mining,South,Loan,72836.7,0.5495,22.87,34.8,1.4,4.56,3.6,0.54,67.3,0.1166
Low,Construction,West,Lease,56565.02,0.6508,34.6,-4.87,1.17,0.61,4.6,0.76,59.1,-0.0033
Medium,Manufacturing,West,Loan,35846.79,0.6693,-16.24,16.38,1.08,6.43,10.6,0.72,57.8,0.1568
High,Transportation,North,Lease,35168.78,0.6284,20.49,-6.41,1.26,4.87,2.9,0.78,80.3,0.0805
Medium,Energy,East,Loan,62897.29,0.5708,4.12,57.42,1.75,3.06,2.3,0.72,72.8,0.1203
High,Transportation,West,Loan,55353.68,0.5382,21.04,68.03,1.51,5.02,6.2,0.74,94.4,0.1597
Medium,Manufacturing,North,Lease,49126.71,0.6934,-12.89,-35.69,1.25,1.62,6.3,0.61,51.6,0.0402
Low,Energy,West,Loan,52585.82,0.6361,-2.33,38.31,1.17,4.27,5.8,0.71,48.3,0.1217
